,id,assessment,kingdom_name,phylum_name,scientific_name,main_common_name,Status code,criteria,trend_id,Common Name,genus,species,sub_species
0,30309,9531803,PLANTAE,TRACHEOPHYTA,Abies pinsapo var. pinsapo,,EN,B1ab(iii)+2ab(iii),1.0,,Abies,pinsapo,
1,30310,91859508,PLANTAE,TRACHEOPHYTA,Cotoneaster granatensis,Guillomera,LR/cd,,,Guillomera,Cotoneaster,granatensis,
2,30310,91859508,PLANTAE,TRACHEOPHYTA,Cotoneaster granatensis,Guillomera,LR/cd,,,Guillomo,Cotoneaster,granatensis,
3,30310,91859508,PLANTAE,TRACHEOPHYTA,Cotoneaster granatensis,Guillomera,LR/cd,,,Guillomero,Cotoneaster,granatensis,
4,30310,91859508,PLANTAE,TRACHEOPHYTA,Cotoneaster granatensis,Guillomera,LR/cd,,,Durillo,Cotoneaster,granatensis,
5,30311,2792553,PLANTAE,TRACHEOPHYTA,Juniperus drupacea,Syrian Juniper,LC,,3.0,Syrian Juniper,Juniperus,drupacea,
6,30312,9532450,PLANTAE,TRACHEOPHYTA,Liquidambar orientalis var. orientalis,,VU,A1cd,,,Liquidambar,orientalis,
7,30313,84039544,PLANTAE,TRACHEOPHYTA,Picea omorika,Serbian Spruce,EN,"B1ab(i,ii,v)+2ab(i,ii,v)",2.0,Omorika,Picea,omorika,
8,30313,84039544,PLANTAE,TRACHEOPHYTA,Picea omorika,Serbian Spruce,EN,"B1ab(i,ii,v)+2ab(i,ii,v)",2.0,Serbian Spruce,Picea,omorika,
9,30313,84039544,PLANTAE,TRACHEOPHYTA,Picea omorika,Serbian Spruce,EN,"B1ab(i,ii,v)+2ab(i,ii,v)",2.0,Muljika,Picea,omorika,
10,30313,84039544,PLANTAE,TRACHEOPHYTA,Picea omorika,Serbian Spruce,EN,"B1ab(i,ii,v)+2ab(i,ii,v)",2.0,Pančićeva omorika,Picea,omorika,
11,30314,9533223,PLANTAE,TRACHEOPHYTA,Prunus ramburii,Espino Negro,VU,C2a(i); D2,2.0,Endrino De Sierra Nevada,Prunus,ramburii,
12,30314,9533223,PLANTAE,TRACHEOPHYTA,Prunus ramburii,Espino Negro,VU,C2a(i); D2,2.0,Espino Negro,Prunus,ramburii,
13,30315,103368450,PLANTAE,TRACHEOPHYTA,Rhamnus intermedia,,LC,,3.0,Pjerëz E Ndërmjeme,Rhamnus,intermedia,
14,30316,83023834,PLANTAE,TRACHEOPHYTA,Rhamnus persicifolia,,EN,"B1ab(iii,v)+2ab(iii,v)",2.0,,Rhamnus,persicifolia,
15,30317,83826495,PLANTAE,TRACHEOPHYTA,Salix tarraconensis,Salenca Tortosina,VU,C2a(i),4.0,Salenca Tortosina,Salix,tarraconensis,
16,30318,9534227,PLANTAE,TRACHEOPHYTA,Tetraclinis articulata,Sandarac,LC,,2.0,Thuya de Barbarie,Tetraclinis,articulata,
17,30318,9534227,PLANTAE,TRACHEOPHYTA,Tetraclinis articulata,Sandarac,LC,,2.0,Alerce,Tetraclinis,articulata,
18,30318,9534227,PLANTAE,TRACHEOPHYTA,Tetraclinis articulata,Sandarac,LC,,2.0,Bois de citre,Tetraclinis,articulata,
19,30318,9534227,PLANTAE,TRACHEOPHYTA,Tetraclinis articulata,Sandarac,LC,,2.0,Sandarac Gum Tree,Tetraclinis,articulata,
20,30318,9534227,PLANTAE,TRACHEOPHYTA,Tetraclinis articulata,Sandarac,LC,,2.0,Sandarac,Tetraclinis,articulata,
21,30318,9534227,PLANTAE,TRACHEOPHYTA,Tetraclinis articulata,Sandarac,LC,,2.0,Gharghar,Tetraclinis,articulata,
22,30319,17701987,PLANTAE,TRACHEOPHYTA,Zelkova abelicea,,EN,B1ab(iii)+2ab(iii),2.0,,Zelkova,abelicea,
23,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Taument,Abies,numidica,
24,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Algerian Silver Fir,Abies,numidica,
25,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Numidische Tanne,Abies,numidica,
26,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Algerian Fir,Abies,numidica,
27,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Algierische Tanne,Abies,numidica,
28,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Numidsche Weisstanne,Abies,numidica,
29,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Sapin de numidie,Abies,numidica,
30,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Sapin de babors,Abies,numidica,
31,30320,9534972,PLANTAE,TRACHEOPHYTA,Abies numidica,Algerian Fir,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2.0,Sapin d'Algerie,Abies,numidica,
32,30321,9535286,PLANTAE,TRACHEOPHYTA,Apollonias barbujana ssp. ceballosi,Barbusano,EN,B1+2abcde,,Barbusano,Apollonias,barbujana,ceballosi
33,30322,81768520,PLANTAE,TRACHEOPHYTA,Arbutus canariensis,Madroño,NT,,3.0,Madroño,Arbutus,canariensis,
34,30323,9535904,PLANTAE,TRACHEOPHYTA,Arbutus pavarii,,VU,D2,,,Arbutus,pavarii,
35,30325,2792650,PLANTAE,TRACHEOPHYTA,Cupressus dupreziana,Saharan Cypress,EN,A2acd; B2ab(iii),2.0,Moroccan Cypress,Cupressus,dupreziana,
36,30325,2792650,PLANTAE,TRACHEOPHYTA,Cupressus dupreziana,Saharan Cypress,EN,A2acd; B2ab(iii),2.0,Tarout,Cupressus,dupreziana,
37,30325,2792650,PLANTAE,TRACHEOPHYTA,Cupressus dupreziana,Saharan Cypress,EN,A2acd; B2ab(iii),2.0,Cyprès de Duprez,Cupressus,dupreziana,
38,30325,2792650,PLANTAE,TRACHEOPHYTA,Cupressus dupreziana,Saharan Cypress,EN,A2acd; B2ab(iii),2.0,Saharan Cypress,Cupressus,dupreziana,
39,30325,2792650,PLANTAE,TRACHEOPHYTA,Cupressus dupreziana,Saharan Cypress,EN,A2acd; B2ab(iii),2.0,Cyprès de l'Atlas,Cupressus,dupreziana,
40,30326,101027981,PLANTAE,TRACHEOPHYTA,Juniperus brevifolia,Azores Juniper,VU,"B2ab(ii,iii,v)",2.0,Cedro,Juniperus,brevifolia,
41,30326,101027981,PLANTAE,TRACHEOPHYTA,Juniperus brevifolia,Azores Juniper,VU,"B2ab(ii,iii,v)",2.0,Azores Juniper,Juniperus,brevifolia,
42,30327,101032366,PLANTAE,TRACHEOPHYTA,Juniperus cedrus,Canary Islands Juniper,EN,"B2ab(ii,iii,v); C2a(i)",2.0,Canary Islands Juniper,Juniperus,cedrus,
43,30327,101032366,PLANTAE,TRACHEOPHYTA,Juniperus cedrus,Canary Islands Juniper,EN,"B2ab(ii,iii,v); C2a(i)",2.0,Cedro,Juniperus,cedrus,
44,30327,101032366,PLANTAE,TRACHEOPHYTA,Juniperus cedrus,Canary Islands Juniper,EN,"B2ab(ii,iii,v); C2a(i)",2.0,Cedro da Madeira,Juniperus,cedrus,
45,30328,81868200,PLANTAE,TRACHEOPHYTA,Ocotea foetens,Tilo,LC,,3.0,Til,Ocotea,foetens,
46,30328,81868200,PLANTAE,TRACHEOPHYTA,Ocotea foetens,Tilo,LC,,3.0,Tilo,Ocotea,foetens,
47,30329,102153566,PLANTAE,TRACHEOPHYTA,Persea indica,Viñatigo,LC,,3.0,Viñatigo,Persea,indica,
48,30329,102153566,PLANTAE,TRACHEOPHYTA,Persea indica,Viñatigo,LC,,3.0,Vinhático,Persea,indica,
49,30330,2792714,PLANTAE,TRACHEOPHYTA,Picconia azorica,,LC,,3.0,,Picconia,azorica,
50,30331,81868260,PLANTAE,TRACHEOPHYTA,Picconia excelsa,Palo Blanco,LC,,3.0,Palo Blanco,Picconia,excelsa,
51,30331,81868260,PLANTAE,TRACHEOPHYTA,Picconia excelsa,Palo Blanco,LC,,3.0,Pau Branco,Picconia,excelsa,
52,30332,103368551,PLANTAE,TRACHEOPHYTA,Rhamnus crenulata,Espino negro,LC,,4.0,Espino negro,Rhamnus,crenulata,
53,30332,103368551,PLANTAE,TRACHEOPHYTA,Rhamnus crenulata,Espino negro,LC,,4.0,Espinero,Rhamnus,crenulata,
54,30333,83023609,PLANTAE,TRACHEOPHYTA,Rhamnus glandulosa,Sanguino,LC,,3.0,Sanguino,Rhamnus,glandulosa,
55,30333,83023609,PLANTAE,TRACHEOPHYTA,Rhamnus glandulosa,Sanguino,LC,,3.0,Sanguinho,Rhamnus,glandulosa,
56,30334,103368507,PLANTAE,TRACHEOPHYTA,Rhamnus integrifolia,Moralito,NT,,3.0,Mocanillo,Rhamnus,integrifolia,
57,30334,103368507,PLANTAE,TRACHEOPHYTA,Rhamnus integrifolia,Moralito,NT,,3.0,Moralito,Rhamnus,integrifolia,
58,30336,2792815,PLANTAE,TRACHEOPHYTA,Sideroxylon mirmulans,Marmulan,EN,B1ab(iii)+2ab(iii),4.0,Marmulan,Sideroxylon,mirmulans,
59,30336,2792815,PLANTAE,TRACHEOPHYTA,Sideroxylon mirmulans,Marmulan,EN,B1ab(iii)+2ab(iii),4.0,Marmulano,Sideroxylon,mirmulans,
60,30337,103201926,PLANTAE,TRACHEOPHYTA,Sorbus aucuparia subsp. maderensis,Madeira Mountain Ash,CR,D,2.0,Madeira Mountain Ash,Sorbus,aucuparia,
61,30337,103201926,PLANTAE,TRACHEOPHYTA,Sorbus aucuparia subsp. maderensis,Madeira Mountain Ash,CR,D,2.0,Sorveira,Sorbus,aucuparia,
62,30337,103201926,PLANTAE,TRACHEOPHYTA,Sorbus aucuparia subsp. maderensis,Madeira Mountain Ash,CR,D,2.0,Madeiran White Beam,Sorbus,aucuparia,
63,30338,102000773,PLANTAE,TRACHEOPHYTA,Visnea mocanera,Mocán,LC,,3.0,Mocano,Visnea,mocanera,
64,30338,102000773,PLANTAE,TRACHEOPHYTA,Visnea mocanera,Mocán,LC,,3.0,Mocán,Visnea,mocanera,
65,30339,9538384,PLANTAE,TRACHEOPHYTA,Acacia montis-usti,Brandberg Acacia,LR/nt,,,Brandbergdoring,Acacia,montis-usti,
66,30339,9538384,PLANTAE,TRACHEOPHYTA,Acacia montis-usti,Brandberg Acacia,LR/nt,,,Brandberg Acacia,Acacia,montis-usti,
67,30340,47609023,PLANTAE,TRACHEOPHYTA,Albizia suluensis,Zulu Albizia,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)",2.0,Ngwebunkulu,Albizia,suluensis,
68,30340,47609023,PLANTAE,TRACHEOPHYTA,Albizia suluensis,Zulu Albizia,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)",2.0,Zoeloevalsdoring,Albizia,suluensis,
69,30340,47609023,PLANTAE,TRACHEOPHYTA,Albizia suluensis,Zulu Albizia,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)",2.0,Zulu Albizia,Albizia,suluensis,
70,30341,9538526,PLANTAE,TRACHEOPHYTA,Atalaya capensis,Cape Wing-nut,LR/cd,,,Cape Wing-nut,Atalaya,capensis,
71,30341,9538526,PLANTAE,TRACHEOPHYTA,Atalaya capensis,Cape Wing-nut,LR/cd,,,Kaapse Kransessboom,Atalaya,capensis,
72,30342,9538595,PLANTAE,TRACHEOPHYTA,Bauhinia bowkeri,,VU,D2,,,Bauhinia,bowkeri,
73,30343,9538676,PLANTAE,TRACHEOPHYTA,Cassipourea flanaganii,,VU,A2c,,Memeze-obumvu,Cassipourea,flanaganii,
74,30344,9538760,PLANTAE,TRACHEOPHYTA,Cassipourea swaziensis,,DD,,,,Cassipourea,swaziensis,
75,30345,9538846,PLANTAE,TRACHEOPHYTA,Erythrophysa transvaalensis,,LR/lc,,,,Erythrophysa,transvaalensis,
76,30346,9538911,PLANTAE,TRACHEOPHYTA,Euphorbia sekukuniensis,,LR/nt,,,,Euphorbia,sekukuniensis,
77,30347,9538981,PLANTAE,TRACHEOPHYTA,Euphorbia zoutpansbergensis,,LR/nt,,,,Euphorbia,zoutpansbergensis,
78,30348,9539054,PLANTAE,TRACHEOPHYTA,Faurea macnaughtonii,,LR/cd,,,Sefo,Faurea,macnaughtonii,
79,30349,9539149,PLANTAE,TRACHEOPHYTA,Greyia flanaganii,,DD,,,,Greyia,flanaganii,
80,30350,9539214,PLANTAE,TRACHEOPHYTA,Leucadendron argenteum,,VU,D2,,,Leucadendron,argenteum,
81,30351,9539310,PLANTAE,TRACHEOPHYTA,Leucadendron discolor,,EN,B1+2abc,,,Leucadendron,discolor,
82,30352,9539387,PLANTAE,TRACHEOPHYTA,Nuxia glomerulata,,LR/nt,,,,Nuxia,glomerulata,
83,30353,9539470,PLANTAE,TRACHEOPHYTA,Ocotea kenyensis,,VU,A1cd,,,Ocotea,kenyensis,
84,30354,9539620,PLANTAE,TRACHEOPHYTA,Oxyanthus pyriformis ssp. brevitubus,,VU,B1+2b,,Muzuki,Oxyanthus,pyriformis,brevitubus
85,30355,9539680,PLANTAE,TRACHEOPHYTA,Protea comptonii,,LR/nt,,,,Protea,comptonii,
86,30356,9539766,PLANTAE,TRACHEOPHYTA,Protea lanceolata,,VU,A1ace,,,Protea,lanceolata,
87,30357,9539848,PLANTAE,TRACHEOPHYTA,Pseudosalacia streyi,,VU,A2c,,,Pseudosalacia,streyi,
88,30358,9539939,PLANTAE,TRACHEOPHYTA,Rapanea gilliana,,VU,A2c,,,Rapanea,gilliana,
89,30359,85955288,PLANTAE,TRACHEOPHYTA,Raphia australis,Rafia,VU,"A3c+4c; B1ab(iii,v)+2ab(iii,v); C1",2.0,Rafia,Raphia,australis,
90,30359,85955288,PLANTAE,TRACHEOPHYTA,Raphia australis,Rafia,VU,"A3c+4c; B1ab(iii,v)+2ab(iii,v); C1",2.0,Giant Palm,Raphia,australis,
91,30360,9540835,PLANTAE,TRACHEOPHYTA,Rhynchocalyx lawsonioides,,VU,A2c,,,Rhynchocalyx,lawsonioides,
92,30361,9540931,PLANTAE,TRACHEOPHYTA,Scolopia oreophila,,DD,,,,Scolopia,oreophila,
93,30362,9541003,PLANTAE,TRACHEOPHYTA,Sterculia alexandri,,VU,"C2a, D2",,,Sterculia,alexandri,
94,30363,9541091,PLANTAE,TRACHEOPHYTA,Vitellariopsis dispar,,LR/lc,,,,Vitellariopsis,dispar,
95,30364,9541142,PLANTAE,TRACHEOPHYTA,Warburgia salutaris,Pepper Bark Tree,EN,A1acd,,Xibaha,Warburgia,salutaris,
96,30364,9541142,PLANTAE,TRACHEOPHYTA,Warburgia salutaris,Pepper Bark Tree,EN,A1acd,,Chibaha,Warburgia,salutaris,
97,30364,9541142,PLANTAE,TRACHEOPHYTA,Warburgia salutaris,Pepper Bark Tree,EN,A1acd,,Muranga,Warburgia,salutaris,
98,30364,9541142,PLANTAE,TRACHEOPHYTA,Warburgia salutaris,Pepper Bark Tree,EN,A1acd,,Pepper Bark Tree,Warburgia,salutaris,
99,30365,2793077,PLANTAE,TRACHEOPHYTA,Widdringtonia cedarbergensis,Clanwilliam Cedar,CR,A2acd,2.0,Sederboom,Widdringtonia,cedarbergensis,
100,30365,2793077,PLANTAE,TRACHEOPHYTA,Widdringtonia cedarbergensis,Clanwilliam Cedar,CR,A2acd,2.0,Cedarboom,Widdringtonia,cedarbergensis,
101,30365,2793077,PLANTAE,TRACHEOPHYTA,Widdringtonia cedarbergensis,Clanwilliam Cedar,CR,A2acd,2.0,Clanwilliam Cypress,Widdringtonia,cedarbergensis,
102,30365,2793077,PLANTAE,TRACHEOPHYTA,Widdringtonia cedarbergensis,Clanwilliam Cedar,CR,A2acd,2.0,Clanwilliam Cedar,Widdringtonia,cedarbergensis,
103,30365,2793077,PLANTAE,TRACHEOPHYTA,Widdringtonia cedarbergensis,Clanwilliam Cedar,CR,A2acd,2.0,Cape Cedar,Widdringtonia,cedarbergensis,
104,30366,9541335,PLANTAE,TRACHEOPHYTA,Cryosophila williamsii,Lago Yojoa Palm,EW,,,Root-spine Palm,Cryosophila,williamsii,
105,30366,9541335,PLANTAE,TRACHEOPHYTA,Cryosophila williamsii,Lago Yojoa Palm,EW,,,Lago Yojoa Palm,Cryosophila,williamsii,
106,30367,9541408,PLANTAE,TRACHEOPHYTA,Roystonea dunlapiana,Palma real mexicana,EN,B1+2c,,Palma real mexicana,Roystonea,dunlapiana,
107,30368,9541482,PLANTAE,TRACHEOPHYTA,Acacia hebeclada ssp. chobiensis,,LR/lc,,,,Acacia,hebeclada,chobiensis
108,30372,9532085,PLANTAE,TRACHEOPHYTA,Olea europaea subsp. cerasiformis,Acebuche,LR/nt,,,Acebuche,Olea,europaea,
109,30372,9532085,PLANTAE,TRACHEOPHYTA,Olea europaea subsp. cerasiformis,Acebuche,LR/nt,,,Oliveira Brava,Olea,europaea,
110,30373,9532387,PLANTAE,TRACHEOPHYTA,Roystonea regia var. hondurensis,,CR,C2a,,,Roystonea,hondurensis;regia,
111,30374,112523756,PLANTAE,TRACHEOPHYTA,Stadmania oppositifolia subsp. rhodesiaca,,LR/nt,,,,Stadmania,oppositifolia,
112,30375,2793139,PLANTAE,TRACHEOPHYTA,Cupressus macrocarpa,Monterey Cypress,VU,D2,3.0,Ciprés Monterrey,Cupressus,macrocarpa,
113,30375,2793139,PLANTAE,TRACHEOPHYTA,Cupressus macrocarpa,Monterey Cypress,VU,D2,3.0,Ciprés de California,Cupressus,macrocarpa,
114,30375,2793139,PLANTAE,TRACHEOPHYTA,Cupressus macrocarpa,Monterey Cypress,VU,D2,3.0,Monterey Cypress,Cupressus,macrocarpa,
115,30376,9532928,PLANTAE,TRACHEOPHYTA,Juniperus bermudiana,Bermuda Cedar,CR,A2ace,1.0,Bermuda Red Cedar,Juniperus,bermudiana,
116,30376,9532928,PLANTAE,TRACHEOPHYTA,Juniperus bermudiana,Bermuda Cedar,CR,A2ace,1.0,Bermuda Cedar,Juniperus,bermudiana,
117,30376,9532928,PLANTAE,TRACHEOPHYTA,Juniperus bermudiana,Bermuda Cedar,CR,A2ace,1.0,Bermuda Juniper,Juniperus,bermudiana,
118,30376,9532928,PLANTAE,TRACHEOPHYTA,Juniperus bermudiana,Bermuda Cedar,CR,A2ace,1.0,Southern Red Cedar,Juniperus,bermudiana,
119,30377,67372313,PLANTAE,TRACHEOPHYTA,Phylica polifolia,St Helena Rosemary,CR,A2a; B1ab(v)+2ab(v); C1+2a(i); D,2.0,St Helena Rosemary,Phylica,polifolia,
120,30377,67372313,PLANTAE,TRACHEOPHYTA,Phylica polifolia,St Helena Rosemary,CR,A2a; B1ab(v)+2ab(v); C1+2a(i); D,2.0,Rosemary,Phylica,polifolia,
121,30378,67379194,PLANTAE,TRACHEOPHYTA,Nesohedyotis arborea,St Helena Dogwood,CR,"A2a; B1ab(iii,v)+2ab(iii,v); C1+2a(i); D",2.0,St Helena Dogwood,Nesohedyotis,arborea,
122,30378,67379194,PLANTAE,TRACHEOPHYTA,Nesohedyotis arborea,St Helena Dogwood,CR,"A2a; B1ab(iii,v)+2ab(iii,v); C1+2a(i); D",2.0,Dogwood,Nesohedyotis,arborea,
123,30379,9542441,PLANTAE,TRACHEOPHYTA,Asimina tetramera,Four-petal Pawpaw,EN,C2a,,Four-petal Pawpaw,Asimina,tetramera,
124,30380,9543103,PLANTAE,TRACHEOPHYTA,Bidens hendersonensis var. hendersonensis,,VU,D2,,,Bidens,hendersonensis,
125,30381,9543198,PLANTAE,TRACHEOPHYTA,Dirachma socotrana,,VU,B2ab(iii),4.0,,Dirachma,socotrana,
126,30383,9543406,PLANTAE,TRACHEOPHYTA,Euphorbia wakefieldii,,EN,B1+2c,,,Euphorbia,wakefieldii,
127,30384,9543470,PLANTAE,TRACHEOPHYTA,Ceratonia oreothauma ssp. oreothauma,,VU,A1cd,,Tiyu,Ceratonia,oreothauma,oreothauma
128,30385,9543557,PLANTAE,TRACHEOPHYTA,Clianthus puniceus,New Zealand Parrot's-bill,EN,D,,New Zealand Parrot's-bill,Clianthus,puniceus,
129,30385,9543557,PLANTAE,TRACHEOPHYTA,Clianthus puniceus,New Zealand Parrot's-bill,EN,D,,Lobster Claw,Clianthus,puniceus,
130,30385,9543557,PLANTAE,TRACHEOPHYTA,Clianthus puniceus,New Zealand Parrot's-bill,EN,D,,Parrot's-bill,Clianthus,puniceus,
131,30385,9543557,PLANTAE,TRACHEOPHYTA,Clianthus puniceus,New Zealand Parrot's-bill,EN,D,,Kaka-beak,Clianthus,puniceus,
132,30385,9543557,PLANTAE,TRACHEOPHYTA,Clianthus puniceus,New Zealand Parrot's-bill,EN,D,,Kowhai Ngutu-kaka,Clianthus,puniceus,
133,30386,9533467,PLANTAE,TRACHEOPHYTA,Cordeauxia edulis,,VU,A2cd,,Yeheb Nut,Cordeauxia,edulis,
134,30387,9533608,PLANTAE,TRACHEOPHYTA,Gigasiphon macrosiphon,,EN,B1+2abcde,,Mnyanza,Gigasiphon,macrosiphon,
135,30387,9533608,PLANTAE,TRACHEOPHYTA,Gigasiphon macrosiphon,,EN,B1+2abcde,,Mnondo,Gigasiphon,macrosiphon,
136,30388,64007143,PLANTAE,TRACHEOPHYTA,Adansonia grandidieri,,EN,A4c,2.0,Renala,Adansonia,grandidieri,
137,30388,64007143,PLANTAE,TRACHEOPHYTA,Adansonia grandidieri,,EN,A4c,2.0,Reniala,Adansonia,grandidieri,
138,30389,64366973,PLANTAE,TRACHEOPHYTA,Adansonia suarezensis,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",2.0,Bozy,Adansonia,suarezensis,
139,30390,9534573,PLANTAE,TRACHEOPHYTA,Sophora fernandeziana,,VU,D2,,,Sophora,fernandeziana,
140,30391,9534895,PLANTAE,TRACHEOPHYTA,Sophora masafuerana,,VU,D2,,,Sophora,masafuerana,
141,30392,9535225,PLANTAE,TRACHEOPHYTA,Sophora toromiro,Toromiro,EW,,,Toromiro,Sophora,toromiro,
142,30393,9535375,PLANTAE,TRACHEOPHYTA,Streblorrhiza speciosa,,EX,,,,Streblorrhiza,speciosa,
143,30394,9535771,PLANTAE,TRACHEOPHYTA,Dracaena draco,Canary Island Dragon Tree,VU,A1abcde,,Dragoeiro,Dracaena,draco,
144,30394,9535771,PLANTAE,TRACHEOPHYTA,Dracaena draco,Canary Island Dragon Tree,VU,A1abcde,,Sangre De Drago,Dracaena,draco,
145,30394,9535771,PLANTAE,TRACHEOPHYTA,Dracaena draco,Canary Island Dragon Tree,VU,A1abcde,,Drago De Canarias,Dracaena,draco,
146,30394,9535771,PLANTAE,TRACHEOPHYTA,Dracaena draco,Canary Island Dragon Tree,VU,A1abcde,,Canary Island Dragon Tree,Dracaena,draco,
147,30394,9535771,PLANTAE,TRACHEOPHYTA,Dracaena draco,Canary Island Dragon Tree,VU,A1abcde,,Dragon Tree,Dracaena,draco,
148,30395,9535978,PLANTAE,TRACHEOPHYTA,Dracaena ombet,Gabal Elba Dragon Tree,EN,A1cd,,Gabal Elba Dragon Tree,Dracaena,ombet,
149,30395,9535978,PLANTAE,TRACHEOPHYTA,Dracaena ombet,Gabal Elba Dragon Tree,EN,A1cd,,Omm Beit,Dracaena,ombet,
150,30396,9536230,PLANTAE,TRACHEOPHYTA,Hibiscadelphus giffardianus,,CR,D,,Hau Kuahiwi,Hibiscadelphus,giffardianus,
151,30397,9536660,PLANTAE,TRACHEOPHYTA,Hibiscadelphus wilderianus,,EX,,,,Hibiscadelphus,wilderianus,
152,30398,9537122,PLANTAE,TRACHEOPHYTA,Lebronnecia kokioides,,EN,D,,,Lebronnecia,kokioides,
153,30399,9537301,PLANTAE,TRACHEOPHYTA,Dorstenia gigas,,NT,,4.0,Quartab,Dorstenia,gigas,
154,30400,9543726,PLANTAE,TRACHEOPHYTA,Jubaeopsis caffra,Pondoland Palm,VU,D2,,Inkomba,Jubaeopsis,caffra,
155,30400,9543726,PLANTAE,TRACHEOPHYTA,Jubaeopsis caffra,Pondoland Palm,VU,D2,,Pondoland Palm,Jubaeopsis,caffra,
156,30401,9543895,PLANTAE,TRACHEOPHYTA,Medemia argun,,CR,B1+2c,,Argun,Medemia,argun,
157,30402,9544053,PLANTAE,TRACHEOPHYTA,Livistona carinensis,Bankoualé Palm,VU,B1+2c,,Madah,Livistona,carinensis,
158,30402,9544053,PLANTAE,TRACHEOPHYTA,Livistona carinensis,Bankoualé Palm,VU,B1+2c,,Daban,Livistona,carinensis,
159,30402,9544053,PLANTAE,TRACHEOPHYTA,Livistona carinensis,Bankoualé Palm,VU,B1+2c,,Nakilto,Livistona,carinensis,
160,30402,9544053,PLANTAE,TRACHEOPHYTA,Livistona carinensis,Bankoualé Palm,VU,B1+2c,,Somm,Livistona,carinensis,
161,30402,9544053,PLANTAE,TRACHEOPHYTA,Livistona carinensis,Bankoualé Palm,VU,B1+2c,,Palmier de Bankoualé,Livistona,carinensis,
162,30402,9544053,PLANTAE,TRACHEOPHYTA,Livistona carinensis,Bankoualé Palm,VU,B1+2c,,Bankoualé Palm,Livistona,carinensis,
163,30403,9544235,PLANTAE,TRACHEOPHYTA,Pittosporum dallii,Dalls Pittosporum,VU,B1+2c,,Dalls Pittosporum,Pittosporum,dallii,
164,30403,9544235,PLANTAE,TRACHEOPHYTA,Pittosporum dallii,Dalls Pittosporum,VU,B1+2c,,Kohuhu,Pittosporum,dallii,
165,30404,9544416,PLANTAE,TRACHEOPHYTA,Punica protopunica,Pomegranate Tree,VU,B1ab(iii),3.0,Pomegranate Tree,Punica,protopunica,
166,30405,9544590,PLANTAE,TRACHEOPHYTA,Vepris glandulosa,,EN,"B1+2c, D",,Munderendu-itu,Vepris,glandulosa,
167,30406,9544750,PLANTAE,TRACHEOPHYTA,Santalum fernandezianum,,EX,,,,Santalum,fernandezianum,
168,30407,9545190,PLANTAE,TRACHEOPHYTA,Camellia crapnelliana,Crapnell's Camellia,VU,A1c,,Crapnell's Camellia,Camellia,crapnelliana,
169,30407,9545190,PLANTAE,TRACHEOPHYTA,Camellia crapnelliana,Crapnell's Camellia,VU,A1c,,Hongpi Caoguo Cha,Camellia,crapnelliana,
170,30408,62077322,PLANTAE,TRACHEOPHYTA,Franklinia alatamaha,Franklin Tree,EW,,,Franklin Tree,Franklinia,alatamaha,
171,30409,9545488,PLANTAE,TRACHEOPHYTA,Freziera forerorum,,CR,D,,,Freziera,forerorum,
172,30410,9545816,PLANTAE,TRACHEOPHYTA,Ulmus wallichiana,,VU,A1c,,Brare,Ulmus,wallichiana,
173,30410,9545816,PLANTAE,TRACHEOPHYTA,Ulmus wallichiana,,VU,A1c,,Marai,Ulmus,wallichiana,
174,30410,9545816,PLANTAE,TRACHEOPHYTA,Ulmus wallichiana,,VU,A1c,,Imroi,Ulmus,wallichiana,
175,30410,9545816,PLANTAE,TRACHEOPHYTA,Ulmus wallichiana,,VU,A1c,,Mair,Ulmus,wallichiana,
176,30410,9545816,PLANTAE,TRACHEOPHYTA,Ulmus wallichiana,,VU,A1c,,Himri,Ulmus,wallichiana,
177,30411,9546018,PLANTAE,TRACHEOPHYTA,Lannea transulta,,NT,,4.0,,Lannea,transulta,
